epoch,accuracy,loss,val_accuracy,val_loss
<<<<<<< HEAD
<<<<<<< HEAD
0,0.541808545589447,1.2347077131271362,0.5604162812232971,1.1871675252914429
1,0.5852551460266113,1.1428228616714478,0.5870109796524048,1.1711000204086304
2,0.5960686206817627,1.1090375185012817,0.5912507176399231,1.1415021419525146
3,0.6081668734550476,1.080342411994934,0.584891140460968,1.1260656118392944
4,0.616689145565033,1.0574657917022705,0.5924069881439209,1.1025556325912476
5,0.625554084777832,1.034153938293457,0.5983811616897583,1.117526888847351
6,0.6296225190162659,1.0186247825622559,0.604933500289917,1.0943673849105835
7,0.6374809741973877,0.9994767904281616,0.6016573309898376,1.0990638732910156
8,0.6421275734901428,0.9824252724647522,0.6022354960441589,1.08848237991333
9,0.6490653157234192,0.9634857177734375,0.6064752340316772,1.0805332660675049
10,0.6585512161254883,0.9421024322509766,0.6028136610984802,1.1006675958633423
11,0.6624911427497864,0.9267493486404419,0.6091732382774353,1.0757834911346436
12,0.6713988780975342,0.9051529169082642,0.6057043671607971,1.1032441854476929
13,0.6804565191268921,0.8799931406974792,0.6149547100067139,1.1342931985855103
14,0.6880152225494385,0.8596412539482117,0.6093659400939941,1.088295817375183
15,0.6945247650146484,0.839260995388031,0.6084023714065552,1.1188050508499146
16,0.7068371176719666,0.8110185861587524,0.6130275726318359,1.1306869983673096
=======
=======
>>>>>>> 84e1ee933fff7b933fd1205f11d14ce2caa09c21
0,0.5875034928321838,1.1103832721710205,0.5860474109649658,1.0937397480010986
1,0.616689145565033,1.0318602323532104,0.599344789981842,1.0685738325119019
2,0.6264320015907288,0.9982073307037354,0.6055116653442383,1.0485626459121704
3,0.6395366191864014,0.9686792492866516,0.6134129762649536,1.0325483083724976
4,0.6460247039794922,0.940891444683075,0.6109076738357544,1.0368164777755737
5,0.6590222716331482,0.9072138071060181,0.6132202744483948,1.0450574159622192
6,0.6739898324012756,0.8660086989402771,0.6128348708152771,1.0506818294525146
7,0.6855741739273071,0.8293064832687378,0.6188090443611145,1.0452698469161987
8,0.7025973796844482,0.7829480767250061,0.6205434799194336,1.0917245149612427
9,0.7221472859382629,0.7349240183830261,0.6211215853691101,1.0776491165161133
10,0.7430890202522278,0.6805037260055542,0.6145693063735962,1.1352754831314087
11,0.7634097933769226,0.6289228200912476,0.6319136619567871,1.150607943534851
12,0.7821674346923828,0.5766363739967346,0.6270957589149475,1.1989384889602661
13,0.8006466627120972,0.5255987048149109,0.6269030570983887,1.2623900175094604
14,0.8153144717216492,0.48814889788627625,0.6216997504234314,1.3073323965072632
15,0.8338150978088379,0.4433751404285431,0.6392368674278259,1.3577382564544678
16,0.8496820330619812,0.39910510182380676,0.6288301944732666,1.4447413682937622
17,0.8612235188484192,0.3700134754180908,0.6207361817359924,1.5627504587173462
18,0.8755487203598022,0.3280836045742035,0.6290229558944702,1.5988597869873047
19,0.8865334987640381,0.30269354581832886,0.6269030570983887,1.7552189826965332
<<<<<<< HEAD
>>>>>>> 84e1ee933fff7b933fd1205f11d14ce2caa09c21
=======
>>>>>>> 84e1ee933fff7b933fd1205f11d14ce2caa09c21
